인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200709,영업,0,서울특별시 영등포구 당산동 32-2,0,미니스톱한강양화2점,카페
20060808,폐업,20200715,서울특별시 중구 순화동 1-94 외24필지(지상1층),0,(주)커피빈코리아순화점,카페
20150511,영업,0,0,서울특별시 동작구 상도로 293 1층 (상도1동),선 김밥,카페
20170623,영업,0,서울특별시 용산구 한강로2가 342번지,서울특별시 용산구 한강대로 95 지하2층 239호 (한강로2가),카페코나퀸즈용산점,카페
20071002,영업,0,서울특별시 종로구 도렴동 83번지 ,0,세븐일레븐(S광화문역점),카페
20170320,영업,0,서울특별시 종로구 평동 43번지 경희궁자이상가 3106호 ,서울특별시 종로구 경교장길 35 3106호 (평동 경희궁자이상가),커피베이 경희궁자이점,카페
20191011,영업,0,서울특별시 종로구 무악동 46번지 경희궁 롯데캐슬 ,서울특별시 종로구 통일로 230 1층 104호 (무악동 경희궁 롯데캐슬),우주라이크커피 독립문역점,카페
20190607,영업,0,서울특별시 종로구 공평동 5-1번지 센트로폴리스 1층 RETAI호,서울특별시 종로구 우정국로 26 센트로폴리스 1층 RETAIL 4호 (공평동),비코우즈커피 센트로폴리스점,카페
20190425,영업,0,서울특별시 종로구 무악동 46번지 경희궁 롯데캐슬 ,서울특별시 종로구 통일로 230 지하1층 123호 (무악동 경희궁 롯데캐슬),세븐일레븐 경희궁롯데캐슬점,카페
20190528,영업,0,서울특별시 종로구 공평동 5-1번지 센트로폴리스 1층 RETAIL 23호 ,서울특별시 종로구 우정국로 26 센트로폴리스 1층 RETAIL 23호 (공평동),(주)보나비 포제 종로센트로폴리스점,카페
20150504,영업,0,서울특별시 종로구 숭인동 233-6번지 ,서울특별시 종로구 청계천로 375 1층 102호 (숭인동),키노빈스,카페
20120723,영업,0,서울특별시 종로구 숭인동 65-13번지 ,0,Coffee Farm(커피팜),카페
20111005,영업,0,서울특별시 종로구 무악동 46-1418번지 (1층) ,서울특별시 종로구 통일로 238 (무악동(1층)),커피 콩콩,카페
20110726,영업,0,서울특별시 종로구 연건동 196-11번지 1층 ,0,훼미리마트(이화사거리점),카페
20050816,영업,0,서울특별시 종로구 공평동 55번지 지상1층 ,서울특별시 종로구 우정국로 24 (공평동지상1층),할리스커피,카페
20180518,영업,0,서울특별시 종로구 교남동 62-1번지 펠리스에비뉴2BL 2106호,0,디저트39 경희궁자이점,카페
20170411,영업,0,서울특별시 종로구 평동 43번지 경희궁자이상가3블럭3112호 ,0,젤라리소 경희궁자이점,카페
20170412,영업,0,서울특별시 종로구 교남동 62-1번지 경희궁자이 펠리스에비뉴 2201호,0,세븐일레븐 경희궁자이점,카페
20180308,영업,0,서울특별시 종로구 교남동 62-1번지 팰리스에비뉴4BL 4123호,0,GS25 경희궁자이점,카페
20180919,영업,0,서울특별시 종로구 교남동 62-1번지 경희궁자이 팰리스에비뉴 4103호,0,백년두유,카페
20071022,영업,0,서울특별시 종로구 평동 90번지 ,0,세븐일레븐(S서대문역점),카페
20140418,영업,0,0,서울특별시 종로구 삼일대로30길 31 1층 (익선동),르바(LeBar),카페
20120720,영업,0,서울특별시 중구 을지로1가 89-1번지 지하철2호선 지하1층 을지로입구역 202-10호 ,0,더베이크,카페
20021105,영업,0,서울특별시 중구 장충동2가 189-2번지 (동대입구역322-13) ,0,클럽알앤비,카페
20190930,영업,0,서울특별시 중구 신당동 307-33번지 1층 ,0,Primavera,카페
20140428,영업,0,0,서울특별시 중구 을지로 88 (을지로2가 을지로지하도상가 을특4호),더카페 을지스타몰점,카페
20190613,영업,0,서울특별시 중구 을지로4가 261-4번지 ,서울특별시 중구 을지로 170 1층 109호 (을지로4가),마이쥬스 을지트윈타워점,카페
20190213,영업,0,서울특별시 중구 저동1가 48번지 대신파이낸스센터(Daishin Finance Center) ,서울특별시 중구 삼일대로 343 대신파이낸스센터(Daishin Finance Center) 2층 (저동1가),바켄 명동점,카페
20090409,영업,0,서울특별시 중구 신당동 294번지 청구역 지하3층 ,0,미로(MIRO),카페
20150205,영업,0,0,서울특별시 중구 을지로 지하 58 (을지로2가 을지입구쇼핑센타 333436호),제퍼커피 을지로입구역점,카페
20170209,영업,0,서울특별시 중구 저동1가 48번지 대신파이낸스센터 지하2층 ,서울특별시 중구 삼일대로 343 (저동1가 대신파이낸스센터 지하2층),아러바우트,카페
20120824,영업,0,서울특별시 중구 을지로4가 261번지 을지로4가역 역사내 지하1층 7번출구 ,0,커피니 을지로4가역점,카페
20130531,영업,0,0,서울특별시 중구 을지로 지하 12 (을지로1가 시청광장 지하상가 100호),일리하우스,카페
20130726,영업,0,0,서울특별시 중구 을지로 지하 58 (을지로2가 을지로지하도상가 을특12호),크리미티,카페
20121106,영업,0,서울특별시 중구 명동2가 107번지 1층 ,0,Mon-Ami (모나미),카페
20090827,영업,0,서울특별시 중구 충무로5가 79-2번지 외1필지 (지상1층) ,서울특별시 중구 서애로 7 (충무로5가외1필지 (지상1층)),이디야커피동국대점,카페
20110210,영업,0,서울특별시 중구 을지로1가 89-1번지 2호선 을리로입구역상가 지하1층 ,0,더베이크,카페
20111228,영업,0,서울특별시 중구 을지로1가 89-1번지 지하철2호선 을지로입구역 지하1층 ,0,밥#,카페
20141017,영업,0,서울특별시 중구 서소문동 75번지 지하1층 ,서울특별시 중구 서소문로 120 (서소문동 지하1층),스타벅스 서소문로점,카페
20171020,영업,0,서울특별시 중구 저동1가 48번지 대신파이낸스센터 1층 ,서울특별시 중구 삼일대로 343 (저동1가 대신파이낸스센터 1층),(주)보나비 아티제 대신파이낸스센터점,카페
20060630,영업,0,서울특별시 중구 다동 187번지 ,0,써브웨이 다동점,카페
20060711,영업,0,서울특별시 중구 을지로4가 0번지 (지하도상가401호) ,0,대도식품,카페
20200219,영업,0,서울특별시 중구 서소문동 85-3,서울특별시 중구 서소문로 124 20층 (서소문동),서울시청 카페테리아 마루,카페
20191114,영업,0,서울특별시 용산구 효창동 13-2번지 용산 롯데캐슬 센터포레 ,서울특별시 용산구 백범로 313 지하3층 101102103104105호 (효창동 용산 롯데캐슬 센터포레),스타벅스효창공원앞역점,카페
